yarn run v1.22.22
warning package.json: No license field
$ tsx src/index.ts
{"label":"config","level":"info","message":"[config]\n{\n  \"rpcUrl\": \"https://rpc.cosmoshub-4-archive.citizenweb3.com\",\n  \"range\": {\n    \"from\": 29899611,\n    \"to\": 29909610,\n    \"follow\": false,\n    \"followIntervalMs\": 5000\n  },\n  \"parallel\": {\n    \"shards\": \"1/1\",\n    \"concurrency\": 48,\n    \"decodeWorkers\": 40\n  },\n  \"network\": {\n    \"timeoutMs\": 5000,\n    \"rps\": 500,\n    \"retries\": 3,\n    \"backoffMs\": 250,\n    \"backoffJitter\": 0.3\n  },\n  \"formatting\": {\n    \"logLevel\": \"info\",\n    \"caseMode\": \"snake\",\n    \"progressEveryBlocks\": 250,\n    \"progressIntervalSec\": 10\n  },\n  \"sink\": {\n    \"kind\": \"postgres\",\n    \"outPath\": \"-\",\n    \"flushEvery\": 1\n  },\n  \"resume\": {\n    \"enabled\": false,\n    \"firstBlock\": 5200792\n  },\n  \"clickhouse\": \"disabled\",\n  \"postgres\": {\n    \"host\": \"127.0.0.1\",\n    \"port\": 25432,\n    \"user\": \"cosmos_indexer_user\",\n    \"database\": \"cosmos_indexer_db\",\n    \"ssl\": false,\n    \"mode\": \"batch-insert\",\n    \"batch\": {\n      \"blocks\": 1000,\n      \"txs\": 2000,\n      \"msgs\": 5000,\n      \"events\": 10000,\n      \"attrs\": 30000,\n      \"transfers\": 5000,\n      \"stakeDeleg\": 5000,\n      \"stakeDistr\": 5000,\n      \"wasmExec\": 5000,\n      \"wasmEvents\": 5000,\n      \"govDeposits\": 5000,\n      \"govVotes\": 5000,\n      \"govProposals\": 1000\n    },\n    \"poolSize\": 16,\n    \"progressId\": \"bench-r1\"\n  }\n}","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.282Z"}
{"label":"index","level":"info","message":"[start] from 29899611 to 29909610 (incl.)","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.436Z"}
{"label":"index","level":"info","message":"[proto] dir = /pool0/dev-cosm/protos","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.437Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] creating 40 worker(s)","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.437Z"}
{"label":"bulk-mode","level":"info","message":"Bulk mode detection: ON (inferred bulk; 0/34 deferred indexes ready; missing/invalid: idx_txs_code, idx_txs_signers_gin, idx_txs_time, idx_txs_success, idx_txs_hash, …)","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.503Z"}
{"label":"bulk-mode","level":"info","message":"Disabled autovacuum on 6 leaf partitions","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.523Z"}
{"label":"sink/postgres","level":"info","message":"bulk mode ON (COPY FROM)","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.524Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #0 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.768Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #1 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.768Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #2 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.768Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #3 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.768Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #4 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.769Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #5 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.769Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #6 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.769Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #7 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.769Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #8 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.769Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #9 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.769Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #10 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.769Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #11 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.769Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #12 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.769Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #13 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.769Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #14 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.770Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #15 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.770Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #16 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.770Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #17 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.770Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #18 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.770Z"}
{"label":"decode/txPool","level":"info","message":"[txPool] worker #19 online","metadata":{"app":"cosmos-indexer","env":"production"},"timestamp":"2026-03-15T11:47:50.770Z"}
